t,x,y,yaw,state,front,back,left,right
266.41,2.944576875816754,-11.998590796240915,0.5051020576596966,EXPLORE,2.2137608528137207,2.2259676456451416,2.105259656906128,1.2149138450622559
266.44,2.9445749139237334,-11.998594413949622,0.520281814977161,EXPLORE,2.2137608528137207,2.2259676456451416,2.105259656906128,1.2149138450622559
266.47,2.9445786431873437,-11.998597330114578,0.535461578798033,EXPLORE,2.2160775661468506,2.175593376159668,2.119685649871826,1.209216833114624
266.51,2.9445798896620476,-11.998601660969351,0.555701256799259,EXPLORE,2.2212960720062256,2.129641056060791,2.1300532817840576,1.203809142112732
266.54,2.9445782222650294,-11.998605282985215,0.5708810077228369,EXPLORE,2.2212960720062256,2.129641056060791,2.1300532817840576,1.203809142112732
266.57,2.9445818574392333,-11.998608104485369,0.5860607684928617,EXPLORE,2.2203595638275146,2.0877599716186523,2.127570629119873,1.1993074417114258
266.61,2.9445832321890615,-11.998612357209714,0.6063004404502935,EXPLORE,2.2203595638275146,2.0877599716186523,2.127570629119873,1.1993074417114258
266.64,2.944581841375134,-11.998615953430315,0.6214801908686934,EXPLORE,2.219813823699951,2.0496556758880615,2.1429173946380615,1.1938008069992065
266.67,2.944585383937666,-11.998618659426944,0.6366599501130967,EXPLORE,2.219813823699951,2.0496556758880615,2.1429173946380615,1.1938008069992065
266.71,2.944586875253333,-11.998622803020394,0.656899624886497,EXPLORE,2.219975471496582,2.015068769454956,2.138820171356201,1.1897437572479248
266.74,2.9445857423218476,-11.998626347301533,0.6720793781283151,EXPLORE,2.219975471496582,2.015068769454956,2.138820171356201,1.1897437572479248
266.77,2.9445891924350414,-11.998628921578815,0.6872591425882691,EXPLORE,2.219975471496582,2.015068769454956,2.138820171356201,1.1897437572479248
266.81,2.9445907874006605,-11.998632930489068,0.707498825222623,EXPLORE,2.2207064628601074,1.9837692975997925,2.214176893234253,1.1848173141479492
266.84,2.9445898934314396,-11.998636400787625,0.7226785819004726,EXPLORE,2.2212562561035156,1.955564260482788,2.2970385551452637,1.179756760597229
266.87,2.944593250409924,-11.998638831365808,0.7378583515570931,EXPLORE,2.2212562561035156,1.955564260482788,2.2970385551452637,1.179756760597229
266.91,2.9445949367270954,-11.998642686583157,0.7580980391309069,EXPLORE,2.2220115661621094,1.930281162261963,2.3271102905273438,1.1759271621704102
266.94,2.944594263872699,-11.998646065684948,0.7732778038490632,EXPLORE,2.2220115661621094,1.930281162261963,2.3271102905273438,1.1759271621704102
266.97,2.9445975269772893,-11.998648344773763,0.7884575786643364,EXPLORE,2.2316253185272217,1.9077727794647217,2.2409613132476807,1.171132206916809
267.01,2.944599291277329,-11.998652030757633,0.8086972763112913,EXPLORE,2.2316253185272217,1.9077727794647217,2.2409613132476807,1.171132206916809
267.04,2.9445988210435967,-11.998655303675482,0.8238770477937276,EXPLORE,2.2238762378692627,1.8879085779190063,2.163897752761841,1.166764259338379
